ID,都道府県,城名,読み方,種類,所在地,築城年代,城主・築城者,別名,備考
464,栃木県,榎本城,えのもとじょう,,栃木県栃木市大平町大字真弓,,小山氏、北条氏、結城氏、本多氏,－,遺構: 土塁、堀
465,栃木県,横田城,よこたじょう,,栃木県宇都宮市兵庫塚3,,横田氏,－,遺構: 消滅
466,栃木県,武茂城,むもじょう,,栃木県那須郡那珂川町馬頭字馬場東他,,武茂氏、太田氏,－,遺構: 曲輪、帯曲輪、腰曲輪、物見台跡、土塁、横堀（空堀）、堀切、櫓跡
467,栃木県,江曽島城,えそじまじょう,,栃木県宇都宮市江曽島3,,江曽島氏,ひさご城、瓢箪城,遺構: 土塁
468,栃木県,烏山城,からすやまじょう,,栃木県那須烏山市城山,,那須氏、成田氏、板倉氏、堀氏、大久保氏,臥牛城,遺構: 曲輪、石垣、土塁、横堀（空堀）
469,栃木県,犬飼城,いぬかいじょう,,栃木県宇都宮市上欠町,,犬飼氏,根古屋城,遺構: 曲輪、土塁、横堀（空堀）
470,栃木県,玉生城,たまにゅうじょう,,栃木県塩谷郡塩谷町玉生,,玉生氏,－,遺構: 曲輪、土塁、横堀（空堀）
471,栃木県,皆川城,みながわじょう,,栃木県栃木市皆川城内町,,皆川氏,法螺貝城、螺貝城,遺構: 曲輪、帯曲輪、土塁、横堀（空堀）、虎口
472,栃木県,真岡城,もおかじょう,,栃木県真岡市台町字城内,,芳賀氏,芳賀城、舞か丘城、（真岡陣屋）,遺構: 曲輪、土塁、横堀（空堀）
473,栃木県,真木城,まきじょう,,栃木県那須塩原市金沢1564,,大館氏,野沢城,遺構: 曲輪、土塁、横堀（空堀）、馬出
474,栃木県,矢板城,やいたじょう,,栃木県矢板市本町3,,矢板氏,矢板館,遺構: 曲輪、土塁
475,栃木県,神田城,かんだじょう,,栃木県那須郡那珂川町三輪,,須藤氏、那須氏,那須神田城、那須城,遺構: 曲輪、土塁、横堀（空堀）、横堀（水堀）
476,栃木県,舟戸城,ふなとじょう,,栃木県芳賀郡芳賀町西水沼,,水沼氏、風見氏（宇都宮氏家臣）,－,遺構: 曲輪、土塁、堀切、横堀（空堀）
477,栃木県,芦野城,あしのじょう,,栃木県那須郡那須町芦野,,芦野氏,桜ヶ城、御殿山、芦野陣屋、芦野氏陣屋,遺構: 曲輪、土塁、横堀（空堀）
478,栃木県,茂木城,もてぎじょう,,栃木県芳賀郡茂木町（城山公園）,,茂木氏,桔梗城,遺構: 曲輪、土塁、横堀（空堀）
479,栃木県,蓬山城,よもぎやまじょう,,栃木県佐野市作原町,,佐野氏,忍（しのび）城,遺構: 曲輪、石積、堀切
480,栃木県,薬師寺城,やくしじじょう,,栃木県下野市薬師寺,,薬師寺氏,－,遺構: 土塁、横堀（空堀）
481,栃木県,藤岡城,ふじおかじょう,,栃木県栃木市藤岡町藤岡,,平氏、藤岡（足利）氏、茂呂久重,花岡城、中泉城,遺構: 曲輪、土塁、横堀（空堀）
482,栃木県,西方城,にしかたじょう,,栃木県栃木市西方町本城,,西方氏,鶴ケ岡城,遺構: 曲輪、土塁、横堀（空堀）、竪堀、枡形虎口
483,栃木県,西明寺城,さいみょうじじょう,,栃木県芳賀郡益子町益子字高館,,益子氏,高館城,遺構: 曲輪、土塁、横堀（空堀）
484,栃木県,赤見城,あかみじょう,,栃木県佐野市赤見町,,足利俊綱、戸賀崎義宗、赤見氏,町屋城,遺構: 曲輪、土塁、横堀（水堀）
485,栃木県,足利城,あしかがじょう,,栃木県足利市西宮町両崖山,,足利氏、長尾氏,両崖山城、飯塚山城、小屋城、栗崎城,遺構: 曲輪、帯曲輪、石積、堀切、竪堀
486,栃木県,足利氏館,あしかがしやかた,,栃木県足利市家富町,,足利義国,足利氏宅、鑁阿寺館,遺構: 曲輪、土塁、横堀（水堀）
487,栃木県,轟城,とどろくじょう,,栃木県日光市轟,,畠山重慶,畠山重慶城,遺構: 曲輪、土塁、横堀（空堀）
488,栃木県,飛山城,とびやまじょう,,栃木県宇都宮市竹下町380-1,,芳賀氏,－,遺構: 曲輪、土塁、横堀（空堀）
489,栃木県,高松城,たかまつじょう,,栃木県足利市高松町,,赤井氏、川島氏,西馬場城、川島氏居館,遺構: 曲輪、土塁、横堀（空堀）
490,栃木県,鷲城,わしじょう,,栃木県小山市外城,,小山氏,小薬城,遺構: 曲輪、土塁、横堀（空堀）
491,栃木県,鹿沼城,かぬまじょう,,栃木県鹿沼市今宮町,,鹿沼氏、壬生氏,坂田城、亀城,遺構: 曲輪、土塁、横堀（空堀）
492,栃木県,黒羽城,くろばねじょう,,栃木県大田原市前田,,大関氏,九鶴城、（黒羽陣屋）,遺構: 曲輪、土塁、横堀（空堀）、横堀（水堀）
493,群馬県,一郷山城,いちごうさんじょう,,群馬県高崎市吉井町多比良塩坂4457,,安部之友,－,遺構: 曲輪、石積、横堀（空堀）
494,群馬県,三ツ木城,みつぎじょう,,群馬県伊勢崎市境三ツ木,,根岸氏,－,遺構: 曲輪、土塁
495,群馬県,下田島城,しもたじまじょう,,群馬県太田市下田島町1245-1（太田フレックス高校内）,,岩松氏,岩松城、岩松陣屋、岩松館,遺構: 曲輪、土塁
496,群馬県,久永氏陣屋,ひさながしじんや,,群馬県伊勢崎市東小保方町3296他（大東神社）,,久永氏,久永屋敷,遺構: 曲輪、横堀（空堀）
497,群馬県,五覧田城,ごらんだじょう,,群馬県みどり市東町荻原,,阿久沢氏、由良氏,五乱田城,遺構: 曲輪、土塁、堀切
498,群馬県,今村城,いまむらじょう,,群馬県伊勢崎市稲荷町774-1他,,那波氏,稲荷山城,遺構: 曲輪、横堀跡？
499,群馬県,伊勢崎陣屋,いせさきじんや,,群馬県伊勢崎市曲輪町28,,稲垣氏、酒井氏,伊勢崎城,遺構: 移築陣屋門（同聚院の武家門）
500,群馬県,倉賀野城,くらがのじょう,,群馬県高崎市倉賀野町,,倉賀野氏,雁城,遺構: 消滅
501,群馬県,前橋城,まえばしじょう,,群馬県前橋市大手町1,,長尾氏、上杉氏、平岩氏、酒井氏、松平氏,－,遺構: 曲輪、石垣、土塁、横堀
502,群馬県,剣城,けんじょう,,群馬県渋川市半田剣城680他,,比企氏、白井長尾氏,－,遺構: 消滅
503,群馬県,北新波砦,きたあらなみとりで,,群馬県高崎市北新波町,,長野氏,北新波の砦,遺構: 曲輪、土塁、横堀（空堀）、虎口
504,群馬県,名胡桃城,なぐるみじょう,,群馬県利根郡みなかみ町下津3437,,鈴木氏（真田氏家臣）,－,遺構: 曲輪、土塁、横堀（空堀）
505,群馬県,国峰城,くにみねじょう,,群馬県甘楽郡甘楽町国峰1025-2他,,小幡氏,国峯城,遺構: 曲輪、土塁、横堀（空堀）、竪堀
506,群馬県,坂本城,さかもとじょう,,群馬県安中市松井田町坂本1671他,,不明,城の峯城,遺構: 曲輪、土塁、堀切、竪堀
507,群馬県,大胡城,おおごじょう,,群馬県前橋市河原浜町660-1,,大胡氏、益田氏（由良氏家臣）、北条高広（上杉氏家臣）、牧野氏、酒井氏,－,遺構: 曲輪、土塁、横堀（空堀）、虎口、土橋
508,群馬県,奥平城,おくだいらじょう,,群馬県高崎市吉井町下奥平,,奥平氏,－,遺構: 曲輪、土塁、横堀（空堀）、屋敷跡
509,群馬県,安中城,あんなかじょう,,群馬県安中市安中3,,安中氏、井伊氏、水野氏、堀田氏、板倉氏、内藤氏,－,遺構: 曲輪、土塁、横堀（空堀）
510,群馬県,富岡城,とみおかじょう,,群馬県富岡市上高尾1409他,,富岡氏,－,遺構: 曲輪、腰曲輪、堀切、切岸
511,群馬県,小中城,こなかじょう,,群馬県利根郡片品村土出,,小中氏,古仲城,遺構: 曲輪、土塁、横堀（空堀）
512,群馬県,小川城,おがわじょう,,群馬県利根郡みなかみ町月夜野1125,,小川（沼田）氏、真田氏,－,遺構: 曲輪、土塁、横堀（空堀）
513,群馬県,小幡陣屋,おばたじんや,,群馬県甘楽郡甘楽町小幡,,織田氏、松平氏,小幡城,遺構: 曲輪、土塁、横堀（空堀）、虎口
514,群馬県,小泉城,こいずみじょう,,群馬県邑楽郡大泉町（城之内公園）,,富岡氏,富岡城,遺構: 土塁、横堀（水堀）
515,群馬県,尻高城,しったかじょう,,群馬県吾妻郡高山村尻高4417-2,,尻高氏,要害城、並木城,遺構: 曲輪、堀切
516,群馬県,尾附城,おつくじょう,,群馬県多野郡神流町尾附,,不明,－,遺構: 曲輪、堀切、竪堀
517,群馬県,山上城,やまかみじょう,,群馬県桐生市新里町山上282,,山上氏,－,遺構: 曲輪、帯曲輪、土塁、横堀（空堀）、物見台跡
518,群馬県,山名城,やまなじょう,,群馬県高崎市山名町前城,,山名氏、木部氏,寺尾下城、下城、前城,遺構: 曲輪、土塁、堀切、横堀（空堀）、竪堀
519,群馬県,岩櫃城,いわびつじょう,,群馬県吾妻郡東吾妻町大字原町字伊達他,,斉藤氏、真田氏,－,遺構: 曲輪、土塁、横堀（空堀）、竪堀
520,群馬県,島名城,しまなじょう,,群馬県高崎市元島名町,,島名氏、長井氏,元島名城,遺構: 消滅
521,群馬県,平井城,ひらいじょう,,群馬県藤岡市西平井字新曲輪235-1（地図は平井城を示す）,,山内上杉氏［すべて］,平井城［平井城・金山城］,遺構: 曲輪、土塁、横堀（空堀）［すべて］、石積、土橋、虎口、井戸跡［金山城］
522,群馬県,彦部屋敷,ひこべやしき,,群馬県桐生市広沢町6877,,彦部氏,彦部氏屋敷、彦部家住宅,遺構: 曲輪、石垣、土塁、横堀（空堀）、井戸、主屋、長屋門、冬住み、穀倉、文庫倉
523,群馬県,新田荘城館,にったのしょうじょうかん,,群馬県太田市新田反町町896-1他（地図は反町館を示す）,,新田氏、市野井氏、大館氏［反町館］、江田氏、矢内氏［江田館］,新田荘城館［反町館・江田館］,遺構: 曲輪、土塁、虎口、横堀（空堀）、横堀（水堀）［すべて］
524,群馬県,新田金山城,にったかなやまじょう,,群馬県太田市金山町40-98,,岩松氏、由良氏、高山氏、宇津木氏,太田金山城、金山城,遺構: 曲輪、石垣、土塁、横堀（空堀）、馬出、井戸
525,群馬県,松井田城,まついだじょう,,群馬県安中市松井田町新堀,,安中氏、大道寺氏,小屋城、霞ヶ城、堅田城、諏訪城,遺構: 曲輪、土塁、堀切、虎口
526,群馬県,桐生城,きりゅうじょう,,群馬県桐生市梅田町1-1282他,,桐生氏、横瀬氏、由良氏,柄杓山城、桧杓山城、桐生桧杓山城,遺構: 曲輪、土塁、横堀（空堀）、馬出、堀切
527,群馬県,横尾八幡城,よこおはちまんじょう,,群馬県吾妻郡中之条町横尾字栃瀬,,尻高氏、塩原氏、富沢氏,八幡城,遺構: 曲輪、土塁
528,群馬県,沼田城,ぬまたじょう,,群馬県沼田市西倉内町594（沼田公園）,,沼田氏、本庄氏、猪俣氏、真田氏,蔵内城、倉内城,遺構: 曲輪、石垣、土塁、横堀（空堀）、移築門
529,群馬県,渋川城,しぶかわじょう,,群馬県渋川市渋川,,白井長尾氏,寄居城,遺構: 曲輪、土塁、堀切
530,群馬県,白井城,しろいじょう,,群馬県渋川市白井本丸609-1他,,白井長尾氏、本多氏,－,遺構: 曲輪、帯曲輪、石垣、土塁、横堀（空堀）、三日月堀（水堀）、櫓台、枡形虎口、用水跡
531,群馬県,白倉城,しらくらじょう,,群馬県甘楽郡甘楽町大字白倉他（地図は麻場城を示す）,,白倉氏［すべて］,白倉城［麻場城・仁井屋城］,遺構: 曲輪、土塁、横堀（空堀）［すべて］
532,群馬県,真下城,ましもじょう,,群馬県藤岡市譲原橋下168他,,真下氏,下山城、譲原城,遺構: 曲輪、土塁、堀切、横堀（空堀）、竪堀
533,群馬県,石倉城,いしくらじょう,,群馬県前橋市石倉町4-19-5,,長尾氏、曽根氏（武田氏家臣）、荒井甚六郎（上杉氏家臣）、寺尾氏（北条氏家臣）,－,遺構: 曲輪、土塁、横堀（空堀）
534,群馬県,神梅城,かんばいじょう,,群馬県桐生市黒保根町宿廻（正円寺）,,阿久沢氏,深沢城、阿久沢城,遺構: 曲輪、土塁、横堀（空堀）
535,群馬県,箕輪城,みのわじょう,,群馬県高崎市箕郷町西明屋他,,長野氏、内藤氏、北条氏、滝川氏、井伊氏,－,遺構: 曲輪、石垣、土塁、横堀（空堀）、馬出、井戸
536,群馬県,羽根尾城,はねおじょう,,群馬県吾妻郡長野原町羽根尾,,羽尾氏,－,遺構: 曲輪、土塁、堀切
537,群馬県,膳城,ぜんじょう,,群馬県前橋市粕川町膳83-2他,,善氏,－,遺構: 曲輪、土塁、横堀（空堀）、土橋
538,群馬県,蒼海城,あおみじょう,,群馬県前橋市元総社町,,総社長尾氏、諏訪頼忠、秋元長朝,－,遺構: 曲輪、土塁
539,群馬県,藤岡城,ふじおかじょう,,群馬県藤岡市藤岡城屋敷1848,,依田（芦田）氏,芦田城,遺構: 曲輪、土塁
540,群馬県,赤堀城,あかぼりじょう,,群馬県伊勢崎市赤堀今井町2他,,赤堀氏,－,遺構: 曲輪、土塁、横堀（空堀）
541,群馬県,赤岩城,あかいわじょう,,群馬県邑楽郡千代田町赤岩桜山1036他,,佐貫氏,－,遺構: 曲輪、横堀（空堀）
542,群馬県,那波城,なわじょう,,群馬県伊勢崎市堀口町,,那波氏,堀口城,遺構: 消滅
543,群馬県,里見城,さとみじょう,,群馬県高崎市下里見町字古城,,里見氏,－,遺構: 曲輪、土塁、横堀（空堀）
544,群馬県,鎌原城,かんばらじょう,,群馬県吾妻郡嬬恋村鎌原字丸,,鎌原氏、羽尾氏,－,遺構: 曲輪、堀切
545,群馬県,長井坂城,ながいざかじょう,,群馬県渋川市赤城町棚下綾戸582他／利根郡昭和村,,上杉氏、猪俣邦憲,－,遺構: 曲輪、土塁、堀切、横堀（空堀）
546,群馬県,阿内城,あうちじょう,,群馬県前橋市亀里町1138-4他,,三輪氏,宿阿内城,遺構: 曲輪、土塁
547,群馬県,館林城,たてばやしじょう,,群馬県館林市城町甲23-1他,,赤井氏、榊原氏、松平氏、徳川氏,尾曳城,遺構: 曲輪、土塁、虎口
548,群馬県,高崎城,たかさきじょう,,群馬県高崎市高松町,,井伊氏、諏訪氏、松平氏、安藤氏,（和田城）,遺構: 乾櫓、移築門（東門）、土塁、横堀（水堀）
549,群馬県,高津戸城,たかつどじょう,,群馬県みどり市大間々町高津戸要害1089他,,山田氏、里見氏、由良氏、阿久沢氏,－,遺構: 曲輪、腰曲輪、堀切、横堀（空堀）
550,群馬県,鶉古城,うずらこじょう,,群馬県邑楽郡邑楽町鶉新田小城12-1他,,荒間朝春、多々良忠致、小曽根政義,鶉小城、鶉城,遺構: 曲輪、土塁、横堀（空堀）
551,埼玉県,三ツ木城,みつぎじょう,,埼玉県桶川市川田谷,,足立遠元？、石井丹後守？,遠元館,遺構: 曲輪、土塁、横堀（空堀）
552,埼玉県,中山家範館,なかやまいえのりやかた,,埼玉県飯能市中山496-2他,,中山氏,中山館,遺構: 曲輪、横堀（空堀）
553,埼玉県,中条氏館,ちゅうじょうしやかた,,埼玉県熊谷市上中条1160,,中条氏,－,遺構: 曲輪、土塁、横堀（空堀）、横堀（水堀）
554,埼玉県,中釘陣屋,なかくぎじんや,,埼玉県さいたま市西区大字中釘,,山内氏,指扇陣屋、山内陣屋,遺構: 消滅
555,埼玉県,久喜陣屋,くきじんや,,埼玉県久喜市久喜中央4（御陣山児童遊園）,,米津（よねきつ）氏,米津氏陣屋、（御陣山遺跡）,遺構: （発掘調査：横堀、井戸跡）
556,埼玉県,井沼館,いぬまやかた,,埼玉県蓮田市井沼,,佐藤氏,堀之内,遺構: 土塁、（発掘調査：横堀）
557,埼玉県,人見館,ひとみやかた,,埼玉県深谷市人見1513他,,人見氏,－,遺構: 曲輪、土塁、横堀（空堀）
558,埼玉県,代山城,だいやまじょう,,埼玉県さいたま市緑区代山,,小久保縫殿助？、山田大隅？,山田大隅城,遺構: 消滅
559,埼玉県,伊奈城,いなじょう,,埼玉県北足立郡伊奈町大字小室字丸ノ内,,伊奈忠次,伊奈陣屋、伊奈氏屋敷,遺構: 曲輪、土塁、横堀（水堀）、障子堀
560,埼玉県,別府城,べっぷじょう,,埼玉県熊谷市東別府777他（東別府神社）,,別府氏,－,遺構: 曲輪、土塁、横堀（空堀）
561,埼玉県,加納城,かのうじょう,,埼玉県桶川市加納,,本木氏？,－,遺構: 曲輪、土塁、横堀（空堀）
562,埼玉県,北秋津城,きたあきつじょう,,埼玉県所沢市北秋津,,不明,大堀山館,遺構: 曲輪、土塁、横堀（空堀）
563,埼玉県,千馬城,せんばじょう,,埼玉県秩父郡皆野町大字三沢2980他,,用土氏,千馬山城、龍ヶ谷城、龍が谷城、竜ヶ谷城、要害山城,遺構: 曲輪、石垣、土塁、堀切、横堀（空堀）、竪堀、土橋、虎口、犬走り
564,埼玉県,和井田氏屋敷,わいだしやしき,,埼玉県八潮市八條,,和井田氏,和井田家住宅,遺構: 曲輪、横堀（水堀）、主屋、長屋門、書院、庭園
565,埼玉県,土呂陣屋,とろじんや,,埼玉県さいたま市北区土呂町2,,初鹿野氏,－,遺構: 土塁
566,埼玉県,城山砦,しろやまとりで,,埼玉県狭山市柏原2376他,,上杉憲政、柏原太郎？,上杉砦、柏原城、柏原城山砦、柏原山城,遺構: 曲輪、土塁、横堀（空堀）、虎口
567,埼玉県,大和田陣屋,おおわだじんや,,埼玉県さいたま市見沼区大和田町1,,伊達氏,－,遺構: 消滅
568,埼玉県,大堀山城,おおほりやまじょう,,埼玉県川越市下広谷332-1他,,扇谷上杉氏,大堀山館,遺構: 曲輪、帯曲輪、土塁、横堀（空堀）
569,埼玉県,大成館,おおなりやかた,,埼玉県さいたま市大宮区大成町2-402（普門院）,,金子氏,－,遺構: 消滅
570,埼玉県,大築城,おおづくじょう,,埼玉県比企郡ときがわ町大字西平字大築,,上田氏、吾那憲光？,大津久城、城山,遺構: 曲輪、土塁、横堀（空堀）、堀切
571,埼玉県,大蔵館,おおくらやかた,,埼玉県比企郡嵐山町大蔵522他,,源義賢,源義賢館、大蔵堀の内,遺構: 曲輪、土塁、横堀（空堀）、掘立柱建物跡
572,埼玉県,天神山城,てんじんやまじょう,,埼玉県秩父郡長瀞町岩田他,,藤田氏,白鳥城、根古屋城,遺構: 曲輪、帯曲輪、石垣、堀切、横堀（空堀）、竪堀
573,埼玉県,宇田家屋敷,うだけやしき,,埼玉県越谷市大成6,,宇田氏,－,遺構: 復元長屋門（花田苑）
574,埼玉県,寿能城,じゅのうじょう,,埼玉県さいたま市大宮区寿能町2-155（寿能公園）,,潮田資忠,－,遺構: 土塁？、櫓台跡
575,埼玉県,小倉城,おぐらじょう,,埼玉県比企郡ときがわ町田黒,,遠山氏、上田氏,玉川城,遺構: 曲輪、石垣、土塁、横堀（空堀）
576,埼玉県,山口城,やまぐちじょう,,埼玉県所沢市山口1517他,,山口氏,児泉城,遺構: 土塁、横堀（空堀）
577,埼玉県,山田城,やまたじょう,,埼玉県比企郡滑川町山田城山,,小高氏、贄田氏？,－,遺構: 曲輪、土塁、横堀（空堀）、虎口、坂虎口、喰違虎口、土橋、武者走り、馬出？
578,埼玉県,岡城,おかじょう,,埼玉県朝霞市岡,,太田氏？,武蔵岡城、岡の城山,遺構: 曲輪、土塁、横堀（空堀）
579,埼玉県,岡部陣屋,おかべじんや,,埼玉県深谷市岡部1201他,,安倍氏,岡部藩陣屋、安倍摂津守陣屋、安部摂津守屋敷,遺構: 移築長屋門（全昌寺）、移築通用門
580,埼玉県,岩槻城,いわつきじょう,,埼玉県さいたま市岩槻区太田3-4他,,成田氏、太田氏、後北条氏、大岡氏,岩付城、白鶴城、浮城,遺構: 門、曲輪、土塁、横堀（空堀）
581,埼玉県,川越城,かわごえじょう,,埼玉県川越市郭町2他,,扇谷上杉氏、後北条氏、酒井氏、堀田氏、長沢松平氏,初雁城、霧隠城,遺構: 堀、土塁、御殿、移築物3棟
582,埼玉県,平山館,ひらやまやかた,,埼玉県熊谷市樋春宮表,,平山（新井）氏,－,遺構: 曲輪、土塁、横堀（水堀）
583,埼玉県,平柳蔵人館,ひらやなぎくらんどやかた,,埼玉県川口市元郷4-12,,平柳氏,平柳蔵人居館,遺構: 消滅
584,埼玉県,幸手城,さってじょう,,埼玉県幸手市中1,,一色氏,田宮城、一色館、一色氏館,遺構: 消滅
585,埼玉県,庁鼻和城,こばなわじょう,,埼玉県深谷市国済寺,,庁鼻和上杉氏,国済寺館,遺構: 曲輪、土塁
586,埼玉県,御屋敷山,おやしきやま,,埼玉県さいたま市中央区円阿弥2,,伝・伊奈半左衛門,－,遺構: 消滅
587,埼玉県,忍城,おしじょう,,埼玉県行田市本丸17-23,,成田氏、松平氏,忍の浮き城、亀城,遺構: 曲輪、土塁、横堀（水堀）、移築門
588,埼玉県,成田氏館,なりたしやかた,,埼玉県熊谷市上之（地図は石碑の場所を示す）,,成田氏,－,遺構: 消滅
589,埼玉県,日尾城,ひおじょう,,埼玉県秩父郡小鹿野町日尾2235他,,諏訪部氏（北条氏邦家臣）,－,遺構: 曲輪、土塁、堀切
590,埼玉県,春日部氏館,かすがべしやかた,,埼玉県春日部市粕壁,,春日部氏,春日部時賢館,遺構: 消滅
591,埼玉県,本庄城,ほんじょうじょう,,埼玉県本庄市本庄3-5,,本庄氏、小笠原信嶺,－,遺構: 土塁
592,埼玉県,本田城,ほんだじょう,,埼玉県深谷市本田5032他,,本田氏,本田館,遺構: 曲輪、土塁、横堀（空堀）
593,埼玉県,杉山城,すぎやまじょう,,埼玉県比企郡嵐山町杉山614番地他,,伝・庄主水,初雁城、雁城,遺構: 曲輪、土塁、横堀（空堀）、虎口、馬出、土橋
594,埼玉県,松野氏館,まつのしやかた,,埼玉県さいたま市見沼区御蔵大ヶ谷戸1399,,松野氏,御蔵陣屋,遺構: 土塁、横堀（空堀）
595,埼玉県,柏の城,かしわのじょう,,埼玉県志木市柏町,,大石氏,志木館,遺構: 曲輪、土塁、横堀（空堀）
596,埼玉県,根古屋城,ねごやじょう,,埼玉県秩父郡横瀬町横瀬字根古屋,,秩父氏、藤田氏、渡辺監物・浅見伊賀守（北条氏家臣）,横瀬根古屋城、根小屋城、机ノ城,遺構: 曲輪、土塁、横堀（空堀）
597,埼玉県,根古屋城,ねごやじょう,,埼玉県所沢市勝楽寺436他（私有地）,,山口氏,竜谷城,遺構: 不明
598,埼玉県,武蔵松山城,むさしまつやまじょう,,埼玉県比企郡吉見町大字南吉見字城山,,上田氏、難波田氏、扇谷上杉氏、太田氏、桜井松平氏,城山,遺構: 曲輪、土塁、横堀（空堀）
599,埼玉県,比企能員館,ひきよしかずやかた,,埼玉県東松山市大谷（推定地）,,比企能員,比企氏館,遺構: 消滅
600,埼玉県,毛呂氏館,もろしやかた,,埼玉県入間郡毛呂山町小田谷鳳谷,,毛呂氏,毛呂顕季館、毛呂山城,遺構: 曲輪、土塁、横堀（空堀）跡
601,埼玉県,永田陣屋,ながたじんや,,埼玉県さいたま市西区土屋5他,,伊奈氏、永田氏,土屋陣屋,遺構: 曲輪、横堀（水堀）、長屋門、築地塀
602,埼玉県,江ヶ崎城,えがさきじょう,,埼玉県蓮田市江ヶ崎1964,,源氏、鬼窪氏,江ケ崎館、掘之内城,遺構: 曲輪、土塁、横堀（空堀）
603,埼玉県,河越館,かわごえやかた,,埼玉県川越市上戸192-1他,,河越氏、上杉顕定、大道寺政繁,河越氏館、鯨井城、上戸（うわど）城、常楽寺城,遺構: 曲輪、土塁、横堀（空堀）
604,埼玉県,深谷城,ふかやじょう,,埼玉県深谷市本住町他（地図は石碑の場所を示す）,,深谷上杉氏、長沢松平氏、酒井氏,木瓜（ぼけ）城,遺構: 土塁、横堀（空堀）
605,埼玉県,源範頼館,みなもとのりよりやかた,,埼玉県比企郡吉見町大字御所地内,,源範頼、吉見氏,伝範頼館,遺構: 横堀（空堀）
606,埼玉県,源経基館,みなもとつねもとやかた,,埼玉県鴻巣市大間字城山1032-1他,,源経基,城山、伝源経基館,遺構: 曲輪、土塁、横堀（空堀）
607,埼玉県,滝の城,たきのじょう,,埼玉県所沢市城537他,,大石氏、北条氏照家臣？,本郷城,遺構: 曲輪、土塁、横堀（空堀）
608,埼玉県,熊倉城,くまくらじょう,,埼玉県秩父市荒川日野,,長尾氏,日野城、城山,遺構: 曲輪、土塁、堀切、横堀（空堀）、竪堀
609,埼玉県,田波目城,たわめじょう,,埼玉県坂戸市多和目,,宿谷氏,多和目城、多波目城,遺構: 曲輪、腰曲輪、土塁、横堀（空堀）、柱穴
610,埼玉県,皿尾城,さらおじょう,,埼玉県行田市皿尾,,成田氏？、木戸氏（上杉氏家臣）,掻上城,遺構: 曲輪、土塁、横堀（空堀）跡
611,埼玉県,真鳥山城,まとりやまじょう,,埼玉県さいたま市桜区西堀9、10,,真鳥氏,真鳥城,遺構: 消滅
612,埼玉県,石戸城,いしどじょう,,埼玉県北本市石戸宿6,,藤田八右衛門、毛利丹後守、依田大膳亮（北条氏家臣）,天神山城,遺構: 曲輪、土塁、横堀（空堀）
613,埼玉県,石田堤,いしだつつみ,,埼玉県鴻巣市袋地内／行田市堤根他,,石田三成,－,遺構: 土塁
614,埼玉県,砂久保陣場,すなくぼじんば,,埼玉県川越市砂久保65,,上杉憲政,砂久保陣所,遺構: 消滅
615,埼玉県,秩父氏館,ちちぶしやかた,,埼玉県秩父市下吉田3833,,秩父氏,吉田城、鶴ヶ窪城,遺構: 消滅
616,埼玉県,種垂城,たなだれじょう,,埼玉県加須市騎西町上種足（種足城址公園）,,佐々木氏、小田氏,種足城,遺構: 消滅
617,埼玉県,箕田館,みだやかた,,埼玉県鴻巣市箕田1265他,,箕田氏,伝箕田館,遺構: 消滅
618,埼玉県,羽生城,はにゅうじょう,,埼玉県羽生市東5（地図は天神郭を示す）,,廣田氏、大久保氏,－,遺構: 曲輪
619,埼玉県,腰越城,こしごえじょう,,埼玉県比企郡小川町腰越,,山田氏,根古屋城,遺構: 曲輪、堀切、竪堀、横堀（空堀）、腰曲輪、虎口
620,埼玉県,花園城,はなぞのじょう,,埼玉県大里郡寄居町末野城山,,藤田氏,－,遺構: 曲輪、石積、土塁、横堀（空堀）、竪堀
621,埼玉県,花崎城,はなさきじょう,,埼玉県加須市花崎北4-5他,,細萱光仲,－,遺構: 曲輪、横堀（空堀）、横堀（水堀）
622,埼玉県,菅谷館,すがややかた,,埼玉県比企郡嵐山町大字菅谷,,畠山氏,菅谷城、重忠館,遺構: 曲輪、土塁、横堀（空堀）、井戸跡
623,埼玉県,菖蒲城,しょうぶじょう,,埼玉県久喜市菖蒲町新堀菖蒲975他,,金田氏,－,遺構: 消滅
624,埼玉県,落合陣屋,おちあいじんや,,埼玉県さいたま市中央区下落合6、7,,安達盛長、渋川氏,－,遺構: 消滅
625,埼玉県,蕨城,わらびじょう,,埼玉県蕨市中央4-21,,渋川氏,蕨ノ御所,遺構: 曲輪、横堀（水堀）
626,埼玉県,西袋陣屋,にしぶくろじんや,,埼玉県八潮市西袋,,興津氏（伊奈氏家臣）、小澤氏,－,遺構: 曲輪、横堀（空堀）
627,埼玉県,赤山城,あかやまじょう,,埼玉県川口市赤山,,伊奈忠治,赤山陣屋、伊奈氏陣屋,遺構: 曲輪、土塁、横堀（空堀）
628,埼玉県,越ヶ谷御殿,こしがやごてん,,埼玉県越谷市御殿町3（地図は石碑の場所を示す）,,徳川氏,（会田出羽屋敷）,遺構: 消滅
629,埼玉県,足利政氏館,あしかがまさうじやかた,,埼玉県久喜市本町7-2-18他,,足利政氏,－,遺構: 曲輪、土塁、横堀（空堀）
630,埼玉県,道場城,どうじょうじょう,,埼玉県さいたま市桜区道場1,,畠山氏,道場館、堀の内,遺構: 消滅
